,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,W,GP,PTS,REB,AST,STL,BLK,TOV,PLUS_MINUS
0,920,A.C. Green,DAL,15,45,253,267,35,25,3,31,-169
1,243,Aaron McKie,DET,28,47,208,107,96,40,17,51,17
2,1425,Aaron Williams,VAN,0,4,18,16,1,1,5,5,-4
3,768,Acie Earl,MIL,11,36,154,83,18,12,25,33,-56
4,228,Adam Keefe,UTA,30,43,153,155,26,22,8,31,72
5,154,Adrian Caldwell,PHI,9,29,70,116,8,13,4,20,-19
6,1059,Aleksandar Djordjevic,POR,4,8,25,5,5,0,0,5,8
7,275,Allan Houston,NYK,34,48,707,141,98,25,13,103,56
8,947,Allen Iverson,PHI,11,41,941,174,291,93,16,194,-209
9,297,Alonzo Mourning,MIA,34,46,899,468,72,38,140,170,271
10,175,Alton Lister,BOS,4,18,29,67,6,3,6,13,-38
11,1043,Amal McCaskill,ORL,4,11,19,17,5,3,2,10,-30
12,692,Andrew DeClercq,GSW,13,35,104,121,13,15,13,27,-87
13,457,Andrew Lang,MIL,19,40,227,224,15,22,39,35,-11
14,358,Anfernee Hardaway,ORL,17,21,421,105,119,32,13,51,125
15,924,Anthony Goldwire,DEN,18,33,190,38,94,19,1,41,-40
16,193,Anthony Mason,CHH,28,46,752,498,240,43,20,104,-40
17,292,Anthony Miller,ATL,0,1,0,7,0,0,0,0,-14
18,324,Anthony Peeler,VAN,9,49,736,185,181,70,13,110,-323
19,156,Antoine Carr,UTA,33,47,330,126,40,13,36,43,9
20,952,Antoine Walker,BOS,11,46,677,385,108,54,28,131,-228
21,213,Antonio Davis,IND,23,46,514,364,33,22,54,84,130
22,176,Antonio Harvey,SEA,6,6,15,10,1,0,4,1,-4
23,226,Antonio Lang,CLE,23,41,114,70,22,22,21,35,33
24,686,Antonio McDyess,DEN,14,40,659,274,50,29,67,103,-89
25,288,Armen Gilliam,MIL,21,47,396,309,27,32,17,74,-79
26,717,Arvydas Sabonis,POR,23,41,572,333,88,32,55,88,219
27,732,Ashraf Amaya,WAS,7,16,17,15,1,0,0,3,5
28,422,Avery Johnson,SAS,11,45,490,78,324,65,10,99,-214
29,769,B.J. Armstrong,GSW,17,46,365,69,123,24,1,51,-157
30,989,Ben Davis,PHX,4,12,20,25,0,4,1,3,-6
31,1112,Ben Wallace,WAS,12,22,22,38,2,7,8,12,-12
32,104,Benoit Benjamin,TOR,2,4,13,9,1,1,0,2,-11
33,82,Bill Wennington,CHI,41,47,226,110,36,10,10,31,94
34,182,Billy Owens,SAC,14,35,387,227,108,32,15,80,-62
35,902,Bimbo Coles,GSW,13,36,180,72,100,20,4,37,-114
36,898,Blue Edwards,VAN,7,40,365,133,87,28,12,59,-222
37,448,Bo Outlaw,LAC,19,44,317,222,54,47,70,47,160
38,682,Bob Sura,CLE,25,47,405,166,205,49,14,91,54
39,310,Bobby Hurley,SAC,9,29,66,18,58,8,2,27,-54
40,184,Bobby Phills,CLE,23,43,530,157,169,73,19,93,124
41,38,Brad Lohaus,TOR,1,6,10,7,1,1,0,1,-31
42,699,Brent Barry,LAC,10,25,190,50,50,22,6,33,22
43,85,Brent Price,HOU,9,17,45,14,26,5,0,16,-23
44,1064,Brent Scott,IND,1,3,8,3,0,0,0,1,-4
45,1136,Brett Szabo,BOS,7,34,40,42,4,3,8,9,-44
46,967,Brian Evans,ORL,3,4,7,3,3,0,0,2,-12
47,258,Brian Grant,SAC,2,5,64,40,4,6,8,10,-15
48,216,Brian Shaw,ORL,24,44,313,128,207,35,15,111,-195
49,240,Brooks Thompson,DEN,13,35,217,33,81,23,0,34,-5
50,735,Bryant Reeves,VAN,9,46,653,365,93,21,42,106,-380
51,179,Bryant Stith,DEN,11,38,559,160,96,50,11,60,-109
52,935,Bryon Russell,UTA,32,46,475,207,72,66,17,61,260
53,433,Buck Williams,NYK,32,45,306,266,31,33,27,56,148
54,2,Byron Scott,LAL,33,45,300,71,65,20,8,34,116
55,384,Calbert Cheaney,WAS,20,44,418,129,49,41,7,52,-144
56,61,Carl Herrera,SAS,9,41,220,148,17,39,25,38,-129
57,1063,Carl Thomas,CLE,13,17,21,12,7,2,1,6,-22
58,435,Carlos Rogers,TOR,11,30,315,174,20,25,43,32,-78
59,76,Cedric Ceballos,PHX,11,21,325,151,34,15,11,49,1
60,787,Charles Barkley,HOU,27,34,663,500,165,53,21,101,235
61,279,Charles Jones,HOU,4,7,2,5,1,0,3,0,-9
62,891,Charles Oakley,NYK,32,46,471,441,121,64,11,99,76
63,293,Charles Smith,SAS,1,4,32,21,5,1,5,9,-9
64,369,Charlie Ward,NYK,34,46,272,144,221,54,14,86,105
65,685,Cherokee Parks,MIN,23,46,155,125,22,33,25,21,37
66,713,Chris Carr,MIN,20,41,227,80,37,17,8,26,9
67,164,Chris Childs,NYK,24,36,373,109,213,39,4,101,98
68,201,Chris Dudley,POR,25,48,185,353,24,21,67,60,-100
69,423,Chris Gatling,NJN,16,42,797,322,22,35,29,109,-51
70,1137,Chris Jent,NYK,2,3,6,1,1,0,0,0,-7
71,168,Chris Mills,CLE,24,46,598,292,96,48,26,73,137
72,356,Chris Morris,UTA,30,41,187,91,21,14,12,26,-52
73,904,Chris Mullin,GSW,16,45,649,190,199,84,22,106,-133
74,997,Chris Robinson,VAN,3,18,52,27,15,11,2,13,-40
75,185,Chris Webber,WAS,21,45,890,443,210,69,90,156,-48
76,43,Chris Whitney,WAS,22,47,278,60,106,33,3,37,43
77,363,Christian Laettner,ATL,31,46,861,412,107,51,36,121,264
78,359,Chucky Brown,MIL,14,38,94,66,11,3,14,5,-11
79,221,Clar. Weatherspoon,PHI,12,46,559,395,71,37,34,87,-267
80,361,Clifford Robinson,POR,24,47,740,176,155,50,41,114,140
81,32,Clifford Rozier,TOR,3,8,29,40,6,3,18,3,20
82,17,Clyde Drexler,HOU,32,44,797,257,249,88,28,120,240
83,916,Corie Blount,LAL,21,30,69,86,14,6,13,20,41
84,722,Corliss Williamson,SAC,19,46,527,195,82,38,24,95,-97
85,724,Cory Alexander,SAS,11,43,192,48,72,32,5,60,-76
86,378,Craig Ehlo,SEA,28,40,167,83,51,27,3,34,113
87,905,Dale Davis,IND,23,44,443,438,38,37,49,66,62
88,107,Dale Ellis,DEN,16,48,877,180,80,37,3,94,-166
89,757,Damon Stoudamire,TOR,17,45,899,180,380,73,8,163,-109
90,105,Dan Majerle,MIA,19,26,331,133,96,43,10,43,159
91,7,Dan Schayes,ORL,13,24,48,47,5,2,7,10,-34
92,344,Dana Barros,BOS,6,24,300,48,81,26,6,39,-94
93,198,Danny Ferry,CLE,25,47,444,187,88,35,18,58,115
94,330,Danny Manning,PHX,16,46,632,307,105,46,43,104,31
95,353,Darrell Armstrong,ORL,20,40,285,50,124,36,6,79,36
96,239,Darrick Martin,LAC,19,44,454,54,167,28,0,65,37
97,241,Darrin Hancock,ATL,8,12,8,7,5,2,0,4,-12
98,1032,Darvin Ham,IND,12,33,74,54,13,8,8,18,-35
99,764,David Robinson,SAS,3,6,106,51,8,6,6,8,21
100,710,David Vaughn,ORL,14,28,75,91,7,8,13,27,-34
101,133,David Wesley,BOS,9,38,635,146,293,85,10,113,-121
102,766,David Wingate,SEA,29,37,98,39,28,18,3,15,-33
103,116,David Wood,MIL,12,28,35,18,9,5,5,3,6
104,1051,Dean Garrett,MIN,13,34,166,214,12,21,39,15,5
105,244,Dee Brown,BOS,3,15,134,35,55,27,6,19,-18
106,209,Dell Curry,CHH,28,47,750,146,77,46,11,63,-29
107,725,Dell Demps,ORL,0,2,2,0,0,1,0,0,-12
108,23,Dennis Rodman,CHI,31,35,210,578,110,18,12,66,408
109,192,Dennis Scott,ORL,18,30,399,105,63,27,10,45,-16
110,965,Derek Fisher,LAL,34,46,176,47,62,25,2,48,3
111,157,Derek Harper,DAL,16,43,426,73,183,48,6,74,-108
112,400,Derek Strong,ORL,24,44,395,274,37,27,12,60,0
113,308,Derrick Alston,ATL,1,2,0,4,0,0,0,0,-7
114,934,Derrick Coleman,PHI,9,34,604,307,122,27,49,121,-143
115,365,Derrick McKey,IND,22,45,381,224,129,44,28,77,16
116,96,Detlef Schrempf,SEA,31,46,781,312,222,48,10,114,357
117,1070,Devin Gray,SAS,3,6,18,14,2,4,0,5,-44
118,1121,Dexter Boney,PHX,1,2,9,5,0,1,1,1,-18
119,54,Dickey Simpkins,CHI,24,27,33,41,14,3,2,18,-35
120,87,Dikembe Mutombo,ATL,30,45,574,539,61,18,160,108,188
121,129,Dino Radja,BOS,6,25,349,211,48,23,48,70,-69
122,1122,Dominique Wilkins,SAS,8,35,666,258,55,28,19,72,-171
123,931,Don MacLean,PHI,8,24,247,86,23,8,5,32,-46
124,690,Don Reid,DET,20,28,76,52,8,9,12,18,4
125,140,Donald Royal,CHH,10,33,136,84,13,11,8,25,-101
126,1126,Donald Whiteside,TOR,7,27,59,12,36,11,0,17,-41
127,671,Donnie Boyce,ATL,14,18,53,11,10,7,4,15,-22
128,681,Donny Marshall,CLE,14,30,96,30,13,7,1,15,-18
129,112,Dontonio Wingfield,POR,17,31,159,110,36,13,5,39,1
130,923,Donyell Marshall,GSW,10,32,148,109,22,10,20,22,-70
131,57,Doug Christie,TOR,16,45,641,267,174,84,24,123,-143
132,77,Doug Overton,PHI,8,36,106,35,57,11,0,17,-25
133,28,Doug West,MIN,17,41,357,98,75,32,13,48,-128
