,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
11737,11737,2023,1630639,A.J. Lawson,1610612742,DAL,13,62.66833333333334,34,10,1,1,0,1,7,1.0,0.04175,0.235,16.60079804350795,0.1975436288069073,0.0
11738,11738,2023,1631260,AJ Green,1610612749,MIL,26,244.3883333333333,121,28,12,5,0,7,33,0.4368571428571428,0.123875,-0.0794285714285714,14.810249910134472,0.7675005171862818,0.0
11739,11739,2023,1631100,AJ Griffin,1610612737,ATL,55,1122.285,514,114,55,38,7,33,82,0.4946818181818181,0.15836,0.0516363636363636,14.570038669254352,2.502134890644363,0.0
11740,11740,2023,203932,Aaron Gordon,1610612743,DEN,49,1482.84,848,336,140,40,39,79,50,0.7027894736842105,0.2026842105263158,0.1239473684210526,23.80339320135732,6.1847019093377975,0.0
11741,11741,2023,1628988,Aaron Holiday,1610612737,ATL,50,725.4133333333333,211,66,65,27,10,29,31,0.4490952380952381,0.10272,0.045047619047619,10.102069275155207,0.9340263310362028,0.0
11742,11742,2023,1630174,Aaron Nesmith,1610612754,IND,53,1300.445,521,199,65,41,23,49,81,0.5661052631578948,0.1593333333333333,0.071578947368421,11.68445123940873,2.3057004857914984,0.0
11743,11743,2023,1630598,Aaron Wiggins,1610612760,OKC,46,846.0133333333333,295,147,62,21,8,38,32,0.6818,0.0887857142857142,0.104,13.38590530923181,1.820923699333504,0.0
11744,11744,2023,1629678,Admiral Schofield,1610612753,ORL,27,350.445,123,52,23,6,3,6,18,0.6009166666666667,0.097875,0.0514166666666666,13.246827230882364,1.0274242587046938,0.0
11745,11745,2023,201143,Al Horford,1610612738,BOS,45,1380.48,417,280,119,22,41,28,92,0.7397,0.111,0.0965,14.341012653026786,3.110754603091406,0.0
11746,11746,2023,202692,Alec Burks,1610612765,DET,46,1015.265,593,135,100,33,6,53,89,0.6015555555555555,0.2325555555555555,0.1129999999999999,18.76084343745817,3.4830478898581045,0.0
11747,11747,2023,1630197,Aleksej Pokusevski,1610612760,OKC,31,677.4483333333334,273,157,62,20,41,41,38,0.4417272727272727,0.1665454545454545,0.0708181818181818,15.828283653833838,1.0517212892078271,0.0
11748,11748,2023,1627936,Alex Caruso,1610612741,CHI,49,1190.7683333333334,270,154,158,82,32,64,40,0.6495,0.09485,0.08855,12.935287960898297,1.5796488038092156,0.0
11749,11749,2023,203458,Alex Len,1610612758,SAC,13,45.92,13,15,5,0,0,4,0,0.5587500000000001,0.0303999999999999,0.14775,9.068597029485714,0.0587168503693664,0.0
