,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
0,0,1997,920,A.C. Green,1610612742,DAL,45,1027.57,253,267,35,25,3,31,1,0.4973846153846154,0.1198846153846153,0.0969999999999999,13.987283466851698,1.9012092849062123,0.0
1,1,1997,243,Aaron McKie,1610612765,DET,47,886.2383333333333,208,107,96,40,17,51,24,0.4124166666666666,0.1235833333333333,0.1025416666666666,13.323805341708308,1.4959074493425133,0.0
2,2,1997,1425,Aaron Williams,1610612763,VAN,4,38.85666666666667,18,16,1,1,5,5,0,0.39575,0.1175714285714285,0.1475,25.12317854310291,0.0886429896545797,0.0
3,3,1997,768,Acie Earl,1610612749,MIL,36,447.5583333333333,154,83,18,12,25,33,0,0.26185,0.1104545454545454,0.0055499999999999,12.554787376192522,0.3923169809750872,0.0
4,4,1997,228,Adam Keefe,1610612762,UTA,43,629.9416666666667,153,155,26,22,8,31,0,0.4215,0.0893666666666666,0.067875,14.151856214236066,1.3595616748035515,0.0
5,5,1997,154,Adrian Caldwell,1610612755,PHI,29,394.9683333333333,70,116,8,13,4,20,0,0.1757272727272727,0.0532941176470588,-0.1015454545454545,9.399307476010817,0.2489457754174805,0.0
6,6,1997,1059,Aleksandar Djordjevic,1610612757,POR,8,62.205,25,5,5,0,0,5,5,0.577,0.105875,0.1126,15.60211141881022,0.2245056254880769,0.0
7,7,1997,275,Allan Houston,1610612752,NYK,48,1586.805,707,141,98,25,13,103,87,0.5253333333333333,0.226074074074074,0.078,13.295818078468178,3.997106490626463,0.0
8,8,1997,947,Allen Iverson,1610612755,PHI,41,1601.6,941,174,291,93,16,194,83,0.4681875,0.241,0.0876875,22.284106312062,6.578004154770923,0.0
10,10,1997,175,Alton Lister,1610612738,BOS,18,205.335,29,67,6,3,6,13,0,0.3815789473684211,0.0884545454545454,0.0153684210526315,7.10003381171635,0.0126510185170672,0.0
11,11,1997,1043,Amal McCaskill,1610612753,ORL,11,81.05166666666666,19,17,5,3,2,10,0,0.0635,0.0718888888888888,0.071,5.109991957588246,-0.1541114022573148,0.0
