,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS
0,1996-97,920,A.C. Green,1610612742,DAL,45,1027.57,253,267,35,25,3,31,1,0.5066,0.11086666666666667,0.09580000000000001,13.987283466851698,1.9012092849062123
1,1996-97,920,A.C. Green,1610612742,DAL,45,1027.57,253,267,35,25,3,31,1,0.4848181818181818,0.13218181818181818,0.09863636363636363,13.987283466851698,1.9012092849062123
2,1996-97,243,Aaron McKie,1610612765,DET,47,886.2383333333333,208,107,96,40,17,51,24,0.37025,0.12384999999999999,0.09645000000000001,13.323805341708308,1.4959074493425133
3,1996-97,243,Aaron McKie,1610612765,DET,47,886.2383333333333,208,107,96,40,17,51,24,0.6232500000000001,0.12225,0.133,13.323805341708308,1.4959074493425133
4,1996-97,1425,Aaron Williams,1610612763,VAN,4,38.85666666666667,18,16,1,1,5,5,0,0.6,0.125,0.196,25.12317854310291,0.0886429896545797
5,1996-97,1425,Aaron Williams,1610612763,VAN,4,38.85666666666667,18,16,1,1,5,5,0,0.32766666666666666,0.11199999999999999,0.13133333333333333,25.12317854310291,0.0886429896545797
6,1996-97,768,Acie Earl,1610612749,MIL,36,447.5583333333333,154,83,18,12,25,33,0,,0.0,,12.554787376192522,0.3923169809750872
7,1996-97,768,Acie Earl,1610612749,MIL,36,447.5583333333333,154,83,18,12,25,33,0,0.26185,0.11758064516129033,0.005549999999999999,12.554787376192522,0.3923169809750872
8,1996-97,228,Adam Keefe,1610612762,UTA,43,629.9416666666667,153,155,26,22,8,31,0,0.4215,0.08936666666666666,0.067875,14.151856214236066,1.3595616748035515
9,1996-97,154,Adrian Caldwell,1610612755,PHI,29,394.9683333333333,70,116,8,13,4,20,0,0.18928571428571428,0.055818181818181815,-0.15271428571428572,9.399307476010817,0.2489457754174805
10,1996-97,154,Adrian Caldwell,1610612755,PHI,29,394.9683333333333,70,116,8,13,4,20,0,0.152,0.048666666666666664,-0.012000000000000002,9.399307476010817,0.2489457754174805
11,1996-97,1059,Aleksandar Djordjevic,1610612757,POR,8,62.205,25,5,5,0,0,5,5,0.577,0.105875,0.1126,15.60211141881022,0.2245056254880769
12,1996-97,275,Allan Houston,1610612752,NYK,48,1586.805,707,141,98,25,13,103,87,0.5253333333333333,0.22607407407407407,0.078,13.295818078468178,3.997106490626463
13,1996-97,947,Allen Iverson,1610612755,PHI,41,1601.6,941,174,291,93,16,194,83,0.4681875,0.241,0.0876875,22.284106312061997,6.578004154770923
14,1996-97,297,Alonzo Mourning,1610612748,MIA,46,1624.4316666666666,899,468,72,38,140,170,1,0.5696129032258065,0.26881818181818184,0.15064516129032257,24.79923564486525,5.656991530918111
15,1996-97,175,Alton Lister,1610612738,BOS,18,205.335,29,67,6,3,6,13,0,0.3815789473684211,0.08845454545454547,0.015368421052631583,7.10003381171635,0.0126510185170672
16,1996-97,1043,Amal McCaskill,1610612753,ORL,11,81.05166666666666,19,17,5,3,2,10,0,0.0635,0.07188888888888889,0.07100000000000001,5.109991957588246,-0.1541114022573148
17,1996-97,692,Andrew DeClercq,1610612744,GSW,35,428.4266666666667,104,121,13,15,13,27,0,0.44469565217391305,0.11351851851851852,-0.0030869565217391294,10.245998244817429,0.5378347537034429
18,1996-97,457,Andrew Lang,1610612749,MIL,40,993.755,227,224,15,22,39,35,0,0.43220000000000003,0.09752000000000001,0.057699999999999994,13.04260407767654,1.6374407583842074
19,1996-97,358,Anfernee Hardaway,1610612753,ORL,21,788.6566666666666,421,105,119,32,13,51,23,0.5201538461538462,0.21306666666666665,0.12569230769230771,25.583857940026665,3.953032498449059
20,1996-97,924,Anthony Goldwire,1610612743,DEN,33,579.7,190,38,94,19,1,41,36,0.44,0.161,0.095,13.943785777164516,1.4426617273266231
21,1996-97,924,Anthony Goldwire,1610612743,DEN,33,579.7,190,38,94,19,1,41,36,0.5249375000000001,0.13436363636363635,0.0561875,13.943785777164516,1.4426617273266231
22,1996-97,193,Anthony Mason,1610612766,CHH,46,1998.24,752,498,240,43,20,104,0,0.57676,0.17376923076923076,0.1536,21.83578301274591,8.499810449291608
23,1996-97,292,Anthony Miller,1610612737,ATL,1,13.7,0,7,0,0,0,0,0,0.0,0.0735,-0.043,-5.674656321625557,
24,1996-97,324,Anthony Peeler,1610612763,VAN,49,1584.6766666666667,736,185,181,70,13,110,88,0.40540909090909094,0.21252,0.03781818181818181,17.85911958747829,4.007505405301403
25,1996-97,156,Antoine Carr,1610612762,UTA,47,891.4216666666666,330,126,40,13,36,43,0,0.4424375,0.19453125,0.047375,12.470760435773697,1.7238410272436466
26,1996-97,952,Antoine Walker,1610612738,BOS,46,1478.28,677,385,108,54,28,131,11,0.4849090909090909,0.23536363636363639,0.08842424242424243,17.61216321378674,2.9556527509493846
27,1996-97,213,Antonio Davis,1610612754,IND,46,1317.885,514,364,33,22,54,84,1,0.5396538461538462,0.18919230769230772,0.08365384615384615,18.099420263745785,3.2589977504227354
28,1996-97,176,Antonio Harvey,1610612760,SEA,6,26.53333333333333,15,10,1,0,4,1,0,0.568,0.035250000000000004,0.127,28.258884891734667,0.1446671751723359
29,1996-97,226,Antonio Lang,1610612739,CLE,41,530.0566666666666,114,70,22,22,21,35,0,0.3726190476190476,0.12517391304347827,0.07852380952380952,9.812826184196922,0.2733963674724218
30,1996-97,686,Antonio McDyess,1610612743,DEN,40,1261.5333333333333,659,274,50,29,67,103,2,0.47172,0.22413333333333335,0.08248000000000001,17.92808968834259,2.647531163826361
31,1996-97,288,Armen Gilliam,1610612749,MIL,47,1166.006666666667,396,309,27,32,17,74,0,0.5673548387096774,0.16938709677419356,0.11525806451612904,16.148806029235423,2.6687045518955186
32,1996-97,717,Arvydas Sabonis,1610612757,POR,41,1090.2033333333334,572,333,88,32,55,88,32,0.5787391304347826,0.2331304347826087,0.16230434782608696,27.33721421188203,5.238087005346773
33,1996-97,732,Ashraf Amaya,1610612764,WAS,16,38.28666666666667,17,15,1,0,0,3,0,0.3004,0.04974074074074074,-0.1182,12.136322786850126,0.0364575190369871
34,1996-97,422,Avery Johnson,1610612759,SAS,45,1593.6683333333333,490,78,324,65,10,99,5,0.48954285714285717,0.17954285714285714,0.0984,17.21599416719281,5.015177842092402
35,1996-97,769,B.J. Armstrong,1610612744,GSW,46,955.5583333333332,365,69,123,24,1,51,23,0.4735,0.15639285714285717,0.06973076923076924,16.01502401299743,3.0085099517783127
36,1996-97,989,Ben Davis,1610612756,PHX,12,82.725,20,25,0,4,1,3,0,0.244,0.03077777777777778,0.022000000000000002,11.01838969272022,0.0633600526682238
37,1996-97,1112,Ben Wallace,1610612764,WAS,22,133.81666666666666,22,38,2,7,8,12,0,0.1875,0.08634782608695653,-0.7651249999999999,7.838674175982281,-0.1631263097126154
38,1996-97,104,Benoit Benjamin,1610612761,TOR,4,43.16666666666666,13,9,1,1,0,2,0,0.4665,0.07866666666666666,0.040999999999999995,11.13940401569294,0.0734921441079072
39,1996-97,82,Bill Wennington,1610612741,CHI,47,677.89,226,110,36,10,10,31,0,0.5140869565217391,0.13126923076923078,0.034782608695652174,12.433511665730045,1.6587547042193889
40,1996-97,182,Billy Owens,1610612758,SAC,35,1121.5883333333334,387,227,108,32,15,80,13,0.53,0.15366666666666667,0.10377272727272727,16.254492424723097,2.361224363347958
41,1996-97,902,Bimbo Coles,1610612744,GSW,36,783.065,180,72,100,20,4,37,17,0.41639130434782606,0.13341666666666666,0.04404347826086956,10.054095812406636,1.1639747745795217
