,SEASON_ID,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900559,1970-03-22,MIL @ CHI,L,37,9,17.0,0.529,,,,9,17,0.529,,,9,5.0,,,,3,27,,0
1,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900550,1970-03-20,MIL @ PHL,W,39,16,18.0,0.889,,,,9,9,1.0,,,15,6.0,,,,2,41,,0
2,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900545,1970-03-18,MIL @ NYK,W,44,10,20.0,0.5,,,,6,9,0.667,,,16,2.0,,,,4,26,,0
3,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900535,1970-03-15,MIL vs. CHI,L,35,11,16.0,0.688,,,,8,10,0.8,,,12,6.0,,,,1,30,,0
4,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900517,1970-03-10,MIL @ ATL,L,43,16,24.0,0.667,,,,8,12,0.667,,,13,3.0,,,,4,40,,0
5,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900516,1970-03-09,MIL vs. SEA,W,31,12,19.0,0.632,,,,1,2,0.5,,,18,1.0,,,,0,25,,0
6,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900511,1970-03-08,MIL @ BOS,W,48,12,17.0,0.706,,,,20,25,0.8,,,14,2.0,,,,2,44,,0
7,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900505,1970-03-06,MIL @ DET,W,42,17,27.0,0.63,,,,4,7,0.571,,,10,3.0,,,,4,38,,0
8,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900502,1970-03-05,MIL vs. ATL,L,47,18,27.0,0.667,,,,3,4,0.75,,,4,5.0,,,,1,39,,0
9,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900494,1970-03-03,MIL vs. PHL,W,47,13,23.0,0.565,,,,5,7,0.714,,,19,1.0,,,,1,31,,0
10,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900488,1970-03-01,MIL vs. CIN,W,48,11,24.0,0.458,,,,10,13,0.769,,,17,3.0,,,,3,32,,0
11,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900480,1970-02-27,MIL vs. DET,W,41,15,27.0,0.556,,,,3,6,0.5,,,16,6.0,,,,3,33,,0
12,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900475,1970-02-25,MIL vs. BLT,W,48,10,22.0,0.455,,,,7,9,0.778,,,16,4.0,,,,2,27,,0
13,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900472,1970-02-24,MIL @ DET,L,45,21,32.0,0.656,,,,4,4,1.0,,,13,1.0,,,,3,46,,0
14,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900464,1970-02-22,MIL @ PHX,W,44,14,21.0,0.667,,,,6,10,0.6,,,13,3.0,,,,4,34,,0
15,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900458,1970-02-21,MIL vs. SEA,W,43,18,25.0,0.72,,,,15,23,0.652,,,8,3.0,,,,4,51,,0
16,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900457,1970-02-20,MIL @ LAL,L,41,15,22.0,0.682,,,,1,4,0.25,,,14,4.0,,,,3,31,,0
17,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900451,1970-02-18,MIL @ SFW,W,42,9,18.0,0.5,,,,8,9,0.889,,,18,0.0,,,,5,26,,0
18,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900442,1970-02-15,MIL vs. LAL,L,44,9,26.0,0.346,,,,2,7,0.286,,,16,1.0,,,,5,20,,0
19,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900435,1970-02-14,MIL vs. BOS,W,0,14,,,,,,13,20,0.65,,,12,3.0,,,,1,41,,0
20,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900423,1970-02-11,MIL vs. PHX,W,48,13,19.0,0.684,,,,6,8,0.75,,,10,5.0,,,,5,32,,0
21,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900417,1970-02-10,MIL @ PHL,W,47,13,28.0,0.464,,,,10,12,0.833,,,20,8.0,,,,3,36,,0
22,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900416,1970-02-08,MIL @ BLT,L,43,16,23.0,0.696,,,,4,6,0.667,,,12,6.0,,,,3,36,,0
23,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900405,1970-02-06,MIL @ LAL,W,48,13,21.0,0.619,,,,3,9,0.333,,,7,5.0,,,,3,29,,0
24,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900395,1970-02-04,MIL @ SDR,W,25,8,14.0,0.571,,,,2,2,1.0,,,10,4.0,,,,6,18,,0
25,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900383,1970-02-01,MIL @ SEA,L,46,10,26.0,0.385,,,,5,14,0.357,,,18,3.0,,,,4,25,,0
26,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900380,1970-01-31,MIL @ PHX,W,48,9,14.0,0.643,,,,6,14,0.429,,,13,6.0,,,,3,24,,0
27,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900374,1970-01-30,MIL @ CHI,W,35,10,15.0,0.667,,,,7,10,0.7,,,11,5.0,,,,2,27,,0
28,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900365,1970-01-28,MIL @ CIN,W,44,10,18.0,0.556,,,,13,16,0.813,,,18,6.0,,,,2,33,,0
29,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900360,1970-01-26,MIL vs. PHL,L,41,15,31.0,0.484,,,,4,7,0.571,,,15,4.0,,,,4,34,,0
30,21969,76003,Kareem Abdul-Jabbar,Kareem,1610612749,MIL,Milwaukee Bucks,0026900354,1970-01-25,MIL @ ATL,W,42,12,24.0,0.5,,,,7,13,0.538,,,20,5.0,,,,4,31,,0
