,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0029600012,1610612756,Suns,PHX,Phoenix,240.000000:00,84.3,87.2,103.7,101.1,-19.3,-13.8,0.656,1.75,15.8,0.306,0.658,0.44,12.341,12.8,0.368,0.409,1.0,0.2,94.92,94.5,78.75,94,0.335
1,0029600012,1610612747,Lakers,LAL,Los Angeles,240.000000:00,103.7,101.1,84.3,87.2,19.3,13.8,0.839,1.13,20.1,0.342,0.694,0.56,24.838,24.2,0.54,0.596,1.0,0.203,94.92,94.5,78.75,95,0.665
2,0029600005,1610612748,Heat,MIA,Miami,240.000000:00,101.8,102.2,87.0,88.0,14.8,14.1,0.743,1.37,19.8,0.326,0.674,0.494,20.572,20.7,0.513,0.544,1.0,0.199,92.72,92.0,76.67,92,0.572
3,0029600005,1610612737,Hawks,ATL,Atlanta,240.000000:00,87.0,88.0,101.8,102.2,-14.8,-14.1,0.52,0.54,11.2,0.326,0.674,0.506,25.784,26.1,0.415,0.512,1.0,0.198,92.72,92.0,76.67,92,0.428
4,0029600002,1610612751,Nets,NJN,New Jersey,240.000000:00,92.2,91.7,107.4,108.4,-15.2,-16.8,0.565,0.59,12.1,0.366,0.659,0.512,26.341,26.2,0.474,0.531,1.0,0.199,83.66,83.5,69.58,84,0.393
5,0029600002,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,107.4,108.4,92.2,91.7,15.2,16.8,0.471,1.07,14.3,0.341,0.634,0.488,17.9,18.1,0.507,0.557,1.0,0.2,83.66,83.5,69.58,83,0.607
6,0029600007,1610612754,Pacers,IND,Indiana,240.000000:00,96.6,96.7,103.9,104.4,-7.3,-7.7,0.576,1.06,15.7,0.311,0.667,0.483,19.54,19.6,0.486,0.529,1.0,0.2,91.76,91.5,76.25,92,0.444
7,0029600007,1610612765,Pistons,DET,Detroit,240.000000:00,103.9,104.4,96.6,96.7,7.3,7.7,0.375,0.63,10.5,0.333,0.689,0.517,20.788,20.9,0.515,0.57,1.0,0.199,91.76,91.5,76.25,91,0.556
8,0029600013,1610612746,Clippers,LAC,Los Angeles,240.000000:00,100.4,102.1,88.8,89.5,11.7,12.6,0.512,1.05,15.7,0.404,0.714,0.563,20.704,21.1,0.5,0.524,1.0,0.201,96.18,95.0,79.17,95,0.553
9,0029600013,1610612744,Warriors,GSW,Golden State,240.000000:00,88.8,89.5,100.4,102.1,-11.7,-12.6,0.741,1.0,15.7,0.286,0.596,0.438,20.886,21.1,0.407,0.484,1.0,0.2,96.18,95.0,79.17,95,0.447
10,0029600009,1610612758,Kings,SAC,Sacramento,240.000000:00,84.2,82.2,90.2,96.0,-5.9,-13.8,0.558,0.66,14.5,0.265,0.599,0.46,26.594,25.9,0.471,0.518,1.0,0.205,102.48,100.5,83.75,101,0.438
11,0029600009,1610612745,Rockets,HOU,Houston,240.000000:00,90.0,96.0,84.1,84.2,6.0,11.8,0.735,1.09,16.8,0.397,0.732,0.535,21.568,23.0,0.437,0.477,1.0,0.196,103.88,100.5,83.75,100,0.558
12,0029600014,1610612763,Grizzlies,VAN,Vancouver,240.000000:00,92.0,93.4,122.7,122.6,-30.7,-29.2,0.676,1.44,18.5,0.255,0.447,0.351,17.324,17.6,0.474,0.498,1.0,0.197,92.62,92.0,76.67,91,0.316
13,0029600014,1610612757,Trail Blazers,POR,Portland,240.000000:00,122.7,122.6,92.0,93.4,30.7,29.2,0.667,1.76,20.7,0.553,0.745,0.649,18.303,18.3,0.564,0.582,1.0,0.202,92.62,92.0,76.67,93,0.684
14,0029600001,1610612741,Bulls,CHI,Chicago,240.000000:00,108.0,111.5,99.9,103.2,8.1,8.3,0.667,1.47,20.7,0.306,0.673,0.518,19.176,19.8,0.574,0.607,1.0,0.198,98.6,95.5,79.58,96,0.646
15,0029600001,1610612738,Celtics,BOS,Boston,240.000000:00,99.9,103.2,108.0,111.5,-8.1,-8.3,0.526,1.11,15.1,0.327,0.694,0.482,18.345,18.9,0.5,0.521,1.0,0.198,98.6,95.5,79.58,95,0.354
16,0029600006,1610612761,Raptors,TOR,Toronto,240.000000:00,94.2,95.2,103.4,103.9,-9.2,-8.7,0.706,1.0,17.1,0.286,0.659,0.456,22.84,23.1,0.513,0.538,1.0,0.202,104.26,103.5,86.25,104,0.364
17,0029600006,1610612752,Knicks,NYK,New York,240.000000:00,103.4,103.9,94.2,95.2,9.2,8.7,0.697,0.96,16.7,0.341,0.714,0.544,23.202,23.3,0.515,0.592,1.0,0.203,104.26,103.5,86.25,103,0.636
18,0029600010,1610612743,Nuggets,DEN,Denver,240.000000:00,91.1,93.8,90.7,94.8,0.4,-1.0,0.464,0.62,9.9,,0.544,,21.017,21.6,0.378,0.469,1.0,0.198,100.68,97.0,80.83,97,0.471
19,0029600010,1610612742,Mavericks,DAL,Dallas,240.000000:00,90.7,94.8,91.1,93.8,-0.4,1.0,0.6,0.95,14.7,0.456,,,21.688,22.7,0.42,0.463,1.0,0.196,100.68,97.0,80.83,97,0.529
20,0029600003,1610612755,76ers,PHI,Philadelphia,240.000000:00,104.2,106.2,111.7,114.4,-7.5,-8.2,0.676,1.79,18.1,0.32,0.558,0.441,14.164,14.4,0.458,0.521,1.0,0.2,99.1,97.0,80.83,97,0.467
21,0029600003,1610612749,Bucks,MIL,Milwaukee,240.000000:00,111.7,114.4,104.2,106.2,7.5,8.2,0.553,1.4,15.1,0.442,0.68,0.559,15.097,15.5,0.476,0.537,1.0,0.199,99.1,97.0,80.83,97,0.533
22,0029600008,1610612759,Spurs,SAS,San Antonio,240.000000:00,87.7,87.6,88.1,91.1,-0.3,-3.5,0.677,1.17,17.7,0.262,0.696,0.489,20.243,20.2,0.458,0.488,1.0,0.2,91.02,89.5,74.58,89,0.48
23,0029600008,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,88.1,91.1,87.7,87.6,0.3,3.5,0.581,1.0,15.0,0.304,0.738,0.511,19.33,20.0,0.439,0.487,1.0,0.198,91.02,89.5,74.58,90,0.52
24,0029600011,1610612762,Jazz,UTA,Utah,240.000000:00,109.4,113.8,101.2,104.6,8.2,9.2,0.765,2.89,20.4,0.28,0.673,0.475,9.943,10.3,0.487,0.535,1.0,0.195,90.24,87.0,72.5,87,0.559
25,0029600011,1610612760,SuperSonics,SEA,Seattle,240.000000:00,101.2,104.6,109.4,113.8,-8.2,-9.2,0.533,1.33,13.6,0.327,0.72,0.525,13.339,13.8,0.433,0.506,1.0,0.2,90.24,87.0,72.5,87,0.441
26,0029600004,1610612764,Bullets,WAS,Washington,240.000000:00,104.1,105.5,97.0,102.2,7.1,3.3,0.714,1.56,19.5,0.357,0.517,0.45,17.354,17.6,0.5,0.55,1.0,0.2,93.5,90.5,75.42,91,0.588
27,0029600004,1610612753,Magic,ORL,Orlando,240.000000:00,97.0,102.2,104.1,105.5,-7.1,-3.3,0.486,1.0,12.7,0.483,0.643,0.55,17.932,18.9,0.412,0.461,1.0,0.199,93.5,90.5,75.42,90,0.412
28,0029600018,1610612748,Heat,MIA,Miami,240.000000:00,97.9,102.1,97.1,101.1,0.8,1.0,0.588,1.05,16.0,0.289,0.674,0.484,19.176,20.0,0.521,0.563,1.0,0.196,98.46,94.5,78.75,95,0.482
29,0029600018,1610612754,Pacers,IND,Indiana,240.000000:00,97.1,101.1,97.9,102.1,-0.8,-1.0,0.548,0.89,13.6,0.326,0.711,0.516,19.419,20.2,0.459,0.535,1.0,0.2,98.46,94.5,78.75,94,0.518
